Threads,Matrix_Size,Kernel_Size,Execution_Time_us,Status 
1,256,3,2850.90,PASS 
1,256,5,16366.30,PASS 
1,256,7,27890.30,PASS 
1,256,9,23136.30,PASS 
1,512,3,19776.20,PASS 
1,512,5,54853.90,PASS 
1,512,7,77168.00,PASS 
1,512,9,122188.60,PASS 
1,1024,3,73433.00,PASS 
1,1024,5,127734.30,PASS 
1,1024,7,228566.10,PASS 
1,1024,9,415904.10,PASS 
1,2048,3,179976.50,PASS 
1,2048,5,530504.40,PASS 
1,2048,7,909885.60,PASS 
1,2048,9,1540033.00,PASS 
1,4096,3,898038.00,PASS 
1,4096,5,2222423.20,PASS 
1,4096,7,13604068.30,PASS 
1,4096,9,6483472.00,PASS 
2,256,3,1754.00,PASS 
2,256,5,3363.40,PASS 
2,256,7,6386.90,PASS 
2,256,9,10669.30,PASS 
2,512,3,5922.30,PASS 
2,512,5,11740.90,PASS 
2,512,7,24648.50,PASS 
2,512,9,48451.10,PASS 
2,1024,3,19503.00,PASS 
2,1024,5,47000.30,PASS 
2,1024,7,111311.90,PASS 
2,1024,9,163820.00,PASS 
2,2048,3,101884.20,PASS 
2,2048,5,226863.70,PASS 
2,2048,7,359567.80,PASS 
2,2048,9,688144.50,PASS 
2,4096,3,324184.80,PASS 
2,4096,5,815993.90,PASS 
2,4096,7,1550334.20,PASS 
2,4096,9,2689224.10,PASS 
4,256,3,1488.20,PASS 
4,256,5,3160.30,PASS 
4,256,7,5971.20,PASS 
4,256,9,10123.00,PASS 
4,512,3,4271.00,PASS 
4,512,5,11896.50,PASS 
4,512,7,21925.90,PASS 
4,512,9,35483.80,PASS 
4,1024,3,20212.50,PASS 
4,1024,5,37943.60,PASS 
4,1024,7,70617.40,PASS 
4,1024,9,135515.10,PASS 
4,2048,3,56404.50,PASS 
4,2048,5,137414.60,PASS 
4,2048,7,259374.80,PASS 
4,2048,9,468321.30,PASS 
4,4096,3,283267.40,PASS 
4,4096,5,555417.30,PASS 
4,4096,7,1120383.60,PASS 
4,4096,9,2657317.60,PASS 
8,256,3,1857.80,PASS 
8,256,5,5567.60,PASS 
8,256,7,9951.20,PASS 
8,256,9,12966.50,PASS 
8,512,3,3532.40,PASS 
8,512,5,11611.00,PASS 
8,512,7,20097.60,PASS 
8,512,9,32321.30,PASS 
8,1024,3,11387.10,PASS 
8,1024,5,30569.70,PASS 
8,1024,7,58960.40,PASS 
8,1024,9,114293.60,PASS 
8,2048,3,44822.60,PASS 
8,2048,5,136927.30,PASS 
8,2048,7,299580.40,PASS 
8,2048,9,387744.00,PASS 
8,4096,3,178526.50,PASS 
8,4096,5,493036.20,PASS 
8,4096,7,1084037.90,PASS 
8,4096,9,1497548.50,PASS 
16,256,3,1869.30,PASS 
16,256,5,3426.80,PASS 
16,256,7,6723.10,PASS 
16,256,9,9163.80,PASS 
16,512,3,8654.30,PASS 
16,512,5,9052.40,PASS 
16,512,7,36821.10,PASS 
16,512,9,29532.10,PASS 
16,1024,3,14384.90,PASS 
16,1024,5,29439.60,PASS 
16,1024,7,58513.20,PASS 
16,1024,9,92050.10,PASS 
16,2048,3,44830.90,PASS 
16,2048,5,106980.00,PASS 
16,2048,7,227019.80,PASS 
16,2048,9,362469.80,PASS 
16,4096,3,183828.30,PASS 
16,4096,5,498713.70,PASS 
16,4096,7,845780.50,PASS 
16,4096,9,1571671.20,PASS 
32,256,3,2969.50,PASS 
32,256,5,6215.20,PASS 
32,256,7,10116.30,PASS 
32,256,9,6986.00,PASS 
32,512,3,7373.50,PASS 
32,512,5,11656.40,PASS 
32,512,7,23253.50,PASS 
32,512,9,24493.80,PASS 
32,1024,3,14357.00,PASS 
32,1024,5,33929.00,PASS 
32,1024,7,62883.20,PASS 
32,1024,9,93578.50,PASS 
32,2048,3,52800.00,PASS 
32,2048,5,112158.00,PASS 
32,2048,7,211787.00,PASS 
32,2048,9,355177.70,PASS 
32,4096,3,175821.40,PASS 
32,4096,5,503866.60,PASS 
32,4096,7,1010073.90,PASS 
32,4096,9,1435247.30,PASS 
