Matrix_Size,Kernel_Size,Execution_Time_us,Status 
256,3,2674.100000,PASS 
256,5,6850.500000,PASS 
256,7,21684.800000,PASS 
256,9,23638.900000,PASS 
512,3,10896.100000,PASS 
512,5,40764.800000,PASS 
512,7,75026.800000,PASS 
512,9,95689.200000,PASS 
1024,3,50969.400000,PASS 
1024,5,119381.900000,PASS 
1024,7,301449.000000,PASS 
1024,9,358554.700000,PASS 
2048,3,235275.900000,PASS 
2048,5,529756.100000,PASS 
2048,7,899364.100000,PASS 
2048,9,1455349.800000,PASS 
4096,3,754668.200000,PASS 
4096,5,2019950.100000,PASS 
4096,7,4174755.500000,PASS 
4096,9,6507727.700000,PASS 
